ReportingDate,Crisis,GovernorateOfDisplacement,DistrictOfDisplacement,SubdistrictOfDisplacement,LocationID,LocationType,LocationName,Latitude,Longitude,PrivateSettings,link,google_maps_link,bing_maps_link
2/23/17,Mosul Operations,Baghdad,Karkh,Al-Mansour,2307082,Formal Camp,Al Jameaa Camp,33.31123901,44.31581718,,,"https://www.google.com/maps/?q=33.31123901,44.31581718","https://www.bing.com/maps/?q=33.31123901,44.31581718"
2/23/17,Mosul Operations,Baghdad,Karkh,Al-Rasheed,2307053,Formal Camp,Al salam-al takia al kasnazania camp,33.2254577,44.36880726,,,"https://www.google.com/maps/?q=33.2254577,44.36880726","https://www.bing.com/maps/?q=33.2254577,44.36880726"
6/29/17,Mosul Operations,Baghdad,Adhamia,Markaz Al Adhamia,2302072,Formal Camp,Al-Nabi Sheit Camp,33.47274243,44.38292064,,http://www.reachresourcecentre.info/system/files/resource-documents/reach_irq_factsheet_nabi_sheit_camp_profile_dec2016.pdf,"https://www.google.com/maps/?q=33.472742434,44.3829206407","https://www.bing.com/maps/?q=33.472742434,44.3829206407"
6/29/17,Mosul Operations,Baghdad,Mada'in,Nahrawan,2308034,Formal Camp,Al-Nabi Younis Camp,33.36313552,44.66226286,,https://reliefweb.int/map/iraq/iraq-baghdad-governorate-al-nabi-younis-camp-general-infrastructure-updated-5-january-2017,"https://www.google.com/maps/?q=33.36313552,44.66226286","https://www.bing.com/maps/?q=33.36313552,44.66226286"
6/29/17,Mosul Operations,Baghdad,Mahmoudiya,Al-Rasheed,2309018,Formal Camp,Al-Rasheed-Khaimat Al Iraq Camp,33.12936386,44.3585688,,,"https://www.google.com/maps/?q=33.12936386,44.3585688","https://www.bing.com/maps/?q=33.12936386,44.3585688"
6/29/17,Mosul Operations,Baghdad,Abu Ghraib,Markaz Abu Ghraib,2301005,Formal Camp,Alahel Camp,33.29099784,44.11034661,,,"https://www.google.com/maps/?q=33.29099784,44.11034661","https://www.bing.com/maps/?q=33.29099784,44.11034661"
2/23/17,Mosul Operations,Anbar,Falluja,Al-Amirya,2105082,Formal Camp,Amriyat Al-Fallujah Camp,33.14597,43.84435,,https://reliefweb.int/map/iraq/iraq-cccm-anbar-amriyat-al-falluja-camps-30-june-2016,"https://www.google.com/maps/?q=33.14597,43.84435","https://www.bing.com/maps/?q=33.14597,43.84435"
6/29/17,Mosul Operations,Ninewa,Al-Hamdaniya,Al-Namroud,,Formal Camp,As Salamiyah 2 camp,36.160082,43.32823,,https://reliefweb.int/sites/reliefweb.int/files/resources/reach_irq_map_idp_assalamiyah_2_overview_11june2017.pdf,"https://www.google.com/maps/?q=36.160082,43.32823","https://www.bing.com/maps/?q=36.160082,43.32823"
6/29/17,Mosul Operations,Ninewa,Al-Hamdaniya,Al-Namroud,,Formal Camp,As Salamyiah 1 camp,36.158604,43.3281,,http://www.reachresourcecentre.info/system/files/resource-documents/irq_map_idp_assalamiyah_1_11june2017.pdf,"https://www.google.com/maps/?q=36.158604,43.3281","https://www.bing.com/maps/?q=36.158604,43.3281"
6/29/17,Mosul Operations,Erbil,Erbil,Baharka,1202011,Formal Camp,Baharka Camp,36.29434,43.99199,,https://reliefweb.int/map/iraq/iraq-erbil-governorate-baharka-camp-general-infrastructure-updated-18-january-2017,,
11/1/16,Mosul Operations,Anbar,Falluja,Al-Amirya,2105080,Formal Camp,Bezabize Central Camp,33.13421,44.00491,,https://reliefweb.int/map/iraq/iraq-anbar-governorate-bezabize-central-camp-general-infrastructure-updated-18-may-2017,"https://www.google.com/maps/?q=33.13421,44.00491","https://www.bing.com/maps/?q=33.13421,44.00491"
6/29/17,Mosul Operations,Ninewa,Al-Hamdaniya,Markaz Al-Hamdaniya,,Formal Camp,Chamakor camp,36.250129,43.524339,,https://reliefweb.int/map/iraq/iraq-duhok-governorate-chamakor-camp-general-infrastructure-updated-11-may-2017,"https://www.google.com/maps/?q=36.250129,43.524339","https://www.bing.com/maps/?q=36.250129,43.524339"
